# x_m,y_m,total_field_nT  (synthetic magnetometer survey - 2 known buried targets)
6.500,2.000,49992.485
6.500,2.500,49993.562
6.500,3.000,49993.073
6.500,3.500,49992.886
6.500,4.000,49992.074
6.500,4.500,49989.730
6.500,5.000,49990.542
6.500,5.500,49989.371
6.500,6.000,49990.576
6.500,6.500,49988.916
6.500,7.000,49987.927
6.500,7.500,49988.103
6.500,8.000,49985.492
6.500,8.500,49986.075
6.500,9.000,49982.084
6.500,9.500,49980.627
6.500,10.000,49975.543
6.500,10.500,49975.392
6.500,11.000,49970.388
6.500,11.500,49968.084
6.500,12.000,49964.590
6.500,12.500,49960.927
6.500,13.000,49959.346
6.500,13.500,49957.147
6.500,14.000,49959.321
6.500,14.500,49959.127
6.500,15.000,49959.743
6.500,15.500,49959.417
6.500,16.000,49962.446
6.500,16.500,49966.475
6.500,17.000,49970.629
6.500,17.500,49975.079
6.500,18.000,49976.186
6.500,18.500,49982.055
6.500,19.000,49982.669
6.500,19.500,49981.657
6.500,20.000,49985.654
6.750,0.000,49990.748
6.750,0.500,49993.363
6.750,1.000,49993.513
6.750,1.500,49993.246
6.750,2.000,49993.471
6.750,2.500,49993.134
6.750,3.000,49992.564
6.750,3.500,49995.393
6.750,4.000,49994.592
6.750,4.500,49990.623
6.750,5.000,49993.704
6.750,5.500,49988.782
6.750,6.000,49989.267
6.750,6.500,49991.908
6.750,7.000,49985.217
6.750,7.500,49988.181
6.750,8.000,49983.921
6.750,8.500,49983.756
6.750,9.000,49981.506
6.750,9.500,49981.709
6.750,10.000,49974.888
6.750,10.500,49972.511
6.750,11.000,49969.735
6.750,11.500,49964.488
6.750,12.000,49959.947
6.750,12.500,49958.058
6.750,13.000,49956.207
6.750,13.500,49956.290
6.750,14.000,49953.224
6.750,14.500,49954.290
6.750,15.000,49956.551
6.750,15.500,49957.896
6.750,16.000,49960.902
6.750,16.500,49964.840
6.750,17.000,49967.750
6.750,17.500,49971.415
6.750,18.000,49976.765
6.750,18.500,49977.521
6.750,19.000,49983.524
6.750,19.500,49984.298
6.750,20.000,49983.886
7.000,0.000,49994.911
7.000,0.500,49994.600
7.000,1.000,49995.335
7.000,1.500,49995.750
7.000,2.000,49993.255
7.000,2.500,49992.504
7.000,3.000,49992.378
7.000,3.500,49991.491
7.000,4.000,49991.461
7.000,4.500,49992.558
7.000,5.000,49991.622
7.000,5.500,49990.227
7.000,6.000,49989.098
7.000,6.500,49989.813
7.000,7.000,49987.436
7.000,7.500,49985.291
7.000,8.000,49984.999
7.000,8.500,49982.858
7.000,9.000,49979.263
7.000,9.500,49979.247
7.000,10.000,49975.898
7.000,10.500,49970.818
7.000,11.000,49966.716
7.000,11.500,49963.010
7.000,12.000,49958.299
7.000,12.500,49956.799
7.000,13.000,49956.380
7.000,13.500,49953.539
7.000,14.000,49954.041
7.000,14.500,49954.728
7.000,15.000,49953.389
7.000,15.500,49953.770
7.000,16.000,49959.705
7.000,16.500,49959.866
7.000,17.000,49969.202
7.000,17.500,49972.062
7.000,18.000,49974.910
7.000,18.500,49978.083
7.000,19.000,49983.495
7.000,19.500,49981.835
7.000,20.000,49983.486
7.250,0.000,49993.439
7.250,0.500,49993.804
7.250,1.000,49992.527
7.250,1.500,49994.084
7.250,2.000,49993.845
7.250,2.500,49992.176
7.250,3.000,49995.515
7.250,3.500,49990.689
7.250,4.000,49990.469
7.250,4.500,49992.484
7.250,5.000,49991.057
7.250,5.500,49991.335
7.250,6.000,49988.987
7.250,6.500,49987.408
7.250,7.000,49986.827
7.250,7.500,49985.353
7.250,8.000,49985.435
7.250,8.500,49981.810
7.250,9.000,49981.090
7.250,9.500,49977.710
7.250,10.000,49974.682
7.250,10.500,49970.208
7.250,11.000,49965.390
7.250,11.500,49960.777
7.250,12.000,49955.030
7.250,12.500,49953.204
7.250,13.000,49950.631
7.250,13.500,49954.831
7.250,14.000,49954.021
7.250,14.500,49954.996
7.250,15.000,49954.167
7.250,15.500,49951.568
7.250,16.000,49954.284
7.250,16.500,49959.098
7.250,17.000,49963.437
7.250,17.500,49969.107
7.250,18.000,49971.388
7.250,18.500,49976.899
7.250,19.000,49977.416
7.250,19.500,49979.297
7.250,20.000,49985.722
7.500,0.000,49992.217
7.500,0.500,49993.193
7.500,1.000,49991.745
7.500,1.500,49991.570
7.500,2.000,49992.869
7.500,2.500,49992.602
7.500,3.000,49994.399
7.500,3.500,49993.257
7.500,4.000,49991.787
7.500,4.500,49992.837
7.500,5.000,49992.805
7.500,5.500,49991.063
7.500,6.000,49989.012
7.500,6.500,49990.149
7.500,7.000,49990.053
7.500,7.500,49986.896
7.500,8.000,49986.723
7.500,8.500,49983.194
7.500,9.000,49980.298
7.500,9.500,49974.007
7.500,10.000,49969.930
7.500,10.500,49966.871
7.500,11.000,49959.430
7.500,11.500,49956.311
7.500,12.000,49955.164
7.500,12.500,49952.272
7.500,13.000,49956.753
7.500,13.500,49958.147
7.500,14.000,49961.526
7.500,14.500,49961.709
7.500,15.000,49956.266
7.500,15.500,49953.705
7.500,16.000,49956.420
7.500,16.500,49959.145
7.500,17.000,49960.618
7.500,17.500,49968.922
7.500,18.000,49970.678
7.500,18.500,49975.616
7.500,19.000,49979.048
7.500,19.500,49983.413
7.500,20.000,49982.373
7.750,0.000,49994.680
7.750,0.500,49994.644
7.750,1.000,49994.910
7.750,1.500,49993.187
7.750,2.000,49994.788
7.750,2.500,49991.960
7.750,3.000,49994.449
7.750,3.500,49992.907
7.750,4.000,49989.864
7.750,4.500,49992.084
7.750,5.000,49991.154
7.750,5.500,49989.644
7.750,6.000,49988.218
7.750,6.500,49987.921
7.750,7.000,49984.842
7.750,7.500,49987.970
7.750,8.000,49981.798
7.750,8.500,49980.091
7.750,9.000,49979.825
7.750,9.500,49975.341
7.750,10.000,49971.169
7.750,10.500,49967.333
7.750,11.000,49959.278
7.750,11.500,49953.539
7.750,12.000,49954.202
7.750,12.500,49956.745
7.750,13.000,49963.473
7.750,13.500,49972.773
7.750,14.000,49981.635
7.750,14.500,49975.536
7.750,15.000,49961.903
7.750,15.500,49956.721
7.750,16.000,49950.775
7.750,16.500,49954.385
7.750,17.000,49958.061
7.750,17.500,49964.101
7.750,18.000,49968.839
7.750,18.500,49973.543
7.750,19.000,49979.194
7.750,19.500,49981.525
7.750,20.000,49984.433
8.000,0.000,49995.455
8.000,0.500,49993.111
8.000,1.000,49993.623
8.000,1.500,49994.117
8.000,2.000,49995.646
8.000,2.500,49994.175
8.000,3.000,49994.594
8.000,3.500,49993.692
8.000,4.000,49993.326
8.000,4.500,49988.559
8.000,5.000,49991.954
8.000,5.500,49990.223
8.000,6.000,49989.101
8.000,6.500,49987.149
8.000,7.000,49985.973
8.000,7.500,49985.590
8.000,8.000,49984.182
8.000,8.500,49978.129
8.000,9.000,49977.536
8.000,9.500,49972.467
8.000,10.000,49967.184
8.000,10.500,49963.822
8.000,11.000,49957.230
8.000,11.500,49952.538
8.000,12.000,49952.385
8.000,12.500,49962.351
8.000,13.000,49981.014
8.000,13.500,50002.807
8.000,14.000,50014.379
8.000,14.500,50004.170
8.000,15.000,49981.637
8.000,15.500,49960.354
8.000,16.000,49954.271
8.000,16.500,49952.290
8.000,17.000,49961.815
8.000,17.500,49961.821
8.000,18.000,49967.425
8.000,18.500,49973.599
8.000,19.000,49975.856
8.000,19.500,49981.617
8.000,20.000,49985.624
8.250,0.000,49993.035
8.250,0.500,49993.728
8.250,1.000,49992.523
8.250,1.500,49993.104
8.250,2.000,49995.025
8.250,2.500,49993.954
8.250,3.000,49990.947
8.250,3.500,49994.257
8.250,4.000,49993.249
8.250,4.500,49991.720
8.250,5.000,49989.383
8.250,5.500,49989.723
8.250,6.000,49987.520
8.250,6.500,49988.299
8.250,7.000,49985.744
8.250,7.500,49981.154
8.250,8.000,49983.757
8.250,8.500,49979.976
8.250,9.000,49977.957
8.250,9.500,49971.989
8.250,10.000,49967.474
8.250,10.500,49963.184
8.250,11.000,49956.519
8.250,11.500,49953.057
8.250,12.000,49961.061
8.250,12.500,49974.053
8.250,13.000,50012.704
8.250,13.500,50062.662
8.250,14.000,50082.156
8.250,14.500,50058.499
8.250,15.000,50010.302
8.250,15.500,49975.107
8.250,16.000,49957.178
8.250,16.500,49953.738
8.250,17.000,49953.907
8.250,17.500,49963.020
8.250,18.000,49968.988
8.250,18.500,49972.047
8.250,19.000,49976.389
8.250,19.500,49980.702
8.250,20.000,49982.918
8.500,0.000,49994.366
8.500,0.500,49991.624
8.500,1.000,49992.820
8.500,1.500,49991.065
8.500,2.000,49993.601
8.500,2.500,49993.182
8.500,3.000,49991.924
8.500,3.500,49992.147
8.500,4.000,49988.927
8.500,4.500,49992.023
8.500,5.000,49989.403
8.500,5.500,49989.532
8.500,6.000,49990.077
8.500,6.500,49986.120
8.500,7.000,49987.628
8.500,7.500,49984.243
8.500,8.000,49981.873
8.500,8.500,49979.864
8.500,9.000,49973.641
8.500,9.500,49972.029
8.500,10.000,49965.951
8.500,10.500,49961.483
8.500,11.000,49954.118
8.500,11.500,49951.991
8.500,12.000,49962.087
8.500,12.500,49994.675
8.500,13.000,50063.483
8.500,13.500,50157.161
8.500,14.000,50206.179
8.500,14.500,50157.313
8.500,15.000,50063.938
8.500,15.500,49995.838
8.500,16.000,49958.752
8.500,16.500,49949.356
8.500,17.000,49954.437
8.500,17.500,49960.200
8.500,18.000,49966.189
8.500,18.500,49969.799
8.500,19.000,49975.286
8.500,19.500,49976.932
8.500,20.000,49982.160
8.750,0.000,49990.749
8.750,0.500,49992.798
8.750,1.000,49993.241
8.750,1.500,49990.014
8.750,2.000,49991.633
8.750,2.500,49993.328
8.750,3.000,49994.151
8.750,3.500,49989.196
8.750,4.000,49991.515
8.750,4.500,49988.617
8.750,5.000,49987.809
8.750,5.500,49991.440
8.750,6.000,49989.093
8.750,6.500,49985.707
8.750,7.000,49985.779
8.750,7.500,49984.584
8.750,8.000,49981.589
8.750,8.500,49981.778
8.750,9.000,49975.645
8.750,9.500,49965.669
8.750,10.000,49964.201
8.750,10.500,49957.412
8.750,11.000,49952.965
8.750,11.500,49953.308
8.750,12.000,49968.652
8.750,12.500,50023.301
8.750,13.000,50149.123
8.750,13.500,50318.602
8.750,14.000,50407.547
8.750,14.500,50318.726
8.750,15.000,50148.090
8.750,15.500,50026.830
8.750,16.000,49968.045
8.750,16.500,49954.458
8.750,17.000,49952.360
8.750,17.500,49960.249
8.750,18.000,49964.347
8.750,18.500,49966.751
8.750,19.000,49974.789
8.750,19.500,49975.731
8.750,20.000,49980.991
9.000,0.000,49992.838
9.000,0.500,49992.171
9.000,1.000,49990.369
9.000,1.500,49990.724
9.000,2.000,49990.896
9.000,2.500,49991.517
9.000,3.000,49993.500
9.000,3.500,49992.251
9.000,4.000,49990.027
9.000,4.500,49992.105
9.000,5.000,49987.489
9.000,5.500,49989.774
9.000,6.000,49987.511
9.000,6.500,49986.927
9.000,7.000,49986.034
9.000,7.500,49982.180
9.000,8.000,49982.031
9.000,8.500,49977.812
9.000,9.000,49977.642
9.000,9.500,49968.816
9.000,10.000,49965.449
9.000,10.500,49958.266
9.000,11.000,49950.650
9.000,11.500,49956.796
9.000,12.000,49978.577
9.000,12.500,50061.431
9.000,13.000,50264.130
9.000,13.500,50563.151
9.000,14.000,50729.601
9.000,14.500,50561.156
9.000,15.000,50265.226
9.000,15.500,50065.846
9.000,16.000,49979.184
9.000,16.500,49955.852
9.000,17.000,49950.547
9.000,17.500,49956.457
9.000,18.000,49961.969
9.000,18.500,49965.972
9.000,19.000,49972.258
9.000,19.500,49979.659
9.000,20.000,49979.183
9.250,0.000,49991.834
9.250,0.500,49990.765
9.250,1.000,49993.629
9.250,1.500,49992.130
9.250,2.000,49992.628
9.250,2.500,49991.458
9.250,3.000,49989.536
9.250,3.500,49989.448
9.250,4.000,49991.708
9.250,4.500,49989.819
9.250,5.000,49990.406
9.250,5.500,49983.696
9.250,6.000,49989.118
9.250,6.500,49985.491
9.250,7.000,49987.969
9.250,7.500,49982.029
9.250,8.000,49980.414
9.250,8.500,49978.283
9.250,9.000,49972.071
9.250,9.500,49969.801
9.250,10.000,49961.637
9.250,10.500,49958.210
9.250,11.000,49953.002
9.250,11.500,49957.368
9.250,12.000,49990.887
9.250,12.500,50110.777
9.250,13.000,50408.500
9.250,13.500,50889.661
9.250,14.000,51180.479
9.250,14.500,50894.118
9.250,15.000,50406.147
9.250,15.500,50113.011
9.250,16.000,49991.031
9.250,16.500,49957.109
9.250,17.000,49950.091
9.250,17.500,49957.003
9.250,18.000,49963.299
9.250,18.500,49970.196
9.250,19.000,49975.416
9.250,19.500,49979.173
9.250,20.000,49980.685
9.500,0.000,49990.534
9.500,0.500,49994.205
9.500,1.000,49990.087
9.500,1.500,49991.182
9.500,2.000,49992.708
9.500,2.500,49991.991
9.500,3.000,49993.389
9.500,3.500,49990.607
9.500,4.000,49987.619
9.500,4.500,49989.189
9.500,5.000,49989.197
9.500,5.500,49987.598
9.500,6.000,49989.246
9.500,6.500,49985.521
9.500,7.000,49982.196
9.500,7.500,49983.108
9.500,8.000,49978.224
9.500,8.500,49979.361
9.500,9.000,49973.231
9.500,9.500,49965.724
9.500,10.000,49963.446
9.500,10.500,49959.011
9.500,11.000,49948.383
9.500,11.500,49959.785
9.500,12.000,50003.764
9.500,12.500,50156.706
9.500,13.000,50561.518
9.500,13.500,51270.309
9.500,14.000,51712.994
9.500,14.500,51271.688
9.500,15.000,50558.979
9.500,15.500,50159.381
9.500,16.000,50005.330
9.500,16.500,49956.651
9.500,17.000,49951.381
9.500,17.500,49957.587
9.500,18.000,49961.090
9.500,18.500,49967.585
9.500,19.000,49972.222
9.500,19.500,49978.562
9.500,20.000,49979.034
9.750,0.000,49992.050
9.750,0.500,49992.722
9.750,1.000,49991.424
9.750,1.500,49990.231
9.750,2.000,49989.280
9.750,2.500,49988.737
9.750,3.000,49988.918
9.750,3.500,49987.719
9.750,4.000,49988.748
9.750,4.500,49989.735
9.750,5.000,49988.696
9.750,5.500,49986.558
9.750,6.000,49985.268
9.750,6.500,49984.062
9.750,7.000,49981.916
9.750,7.500,49980.185
9.750,8.000,49980.624
9.750,8.500,49974.277
9.750,9.000,49972.377
9.750,9.500,49966.364
9.750,10.000,49964.862
9.750,10.500,49952.138
9.750,11.000,49951.338
9.750,11.500,49959.154
9.750,12.000,50009.772
9.750,12.500,50190.710
9.750,13.000,50682.196
9.750,13.500,51585.356
9.750,14.000,52176.788
9.750,14.500,51587.544
9.750,15.000,50683.927
9.750,15.500,50189.323
9.750,16.000,50013.134
9.750,16.500,49959.360
9.750,17.000,49948.085
9.750,17.500,49955.618
9.750,18.000,49961.098
9.750,18.500,49965.968
9.750,19.000,49973.751
9.750,19.500,49975.677
9.750,20.000,49981.078
10.000,0.000,49991.609
10.000,0.500,49992.705
10.000,1.000,49992.422
10.000,1.500,49991.908
10.000,2.000,49989.412
10.000,2.500,49992.062
10.000,3.000,49990.387
10.000,3.500,49992.970
10.000,4.000,49990.222
10.000,4.500,49990.076
10.000,5.000,49987.131
10.000,5.500,49986.852
10.000,6.000,49986.601
10.000,6.500,49983.454
10.000,7.000,49981.896
10.000,7.500,49981.524
10.000,8.000,49979.076
10.000,8.500,49976.316
10.000,9.000,49973.639
10.000,9.500,49966.282
10.000,10.000,49961.809
10.000,10.500,49954.180
10.000,11.000,49950.424
10.000,11.500,49960.272
10.000,12.000,50010.496
10.000,12.500,50202.730
10.000,13.000,50727.384
10.000,13.500,51712.002
10.000,14.000,52360.658
10.000,14.500,51712.732
10.000,15.000,50725.525
10.000,15.500,50203.936
10.000,16.000,50013.239
10.000,16.500,49957.363
10.000,17.000,49949.705
10.000,17.500,49955.530
10.000,18.000,49959.896
10.000,18.500,49966.461
10.000,19.000,49971.410
10.000,19.500,49975.820
10.000,20.000,49976.643
10.250,0.000,49991.308
10.250,0.500,49990.386
10.250,1.000,49995.477
10.250,1.500,49990.522
10.250,2.000,49989.921
10.250,2.500,49991.809
10.250,3.000,49989.765
10.250,3.500,49989.991
10.250,4.000,49987.839
10.250,4.500,49990.929
10.250,5.000,49986.984
10.250,5.500,49987.673
10.250,6.000,49987.805
10.250,6.500,49984.406
10.250,7.000,49983.309
10.250,7.500,49982.230
10.250,8.000,49979.888
10.250,8.500,49974.060
10.250,9.000,49971.935
10.250,9.500,49965.185
10.250,10.000,49959.413
10.250,10.500,49953.172
10.250,11.000,49952.184
10.250,11.500,49961.361
10.250,12.000,50014.148
10.250,12.500,50189.464
10.250,13.000,50680.012
10.250,13.500,51584.817
10.250,14.000,52177.871
10.250,14.500,51583.964
10.250,15.000,50680.799
10.250,15.500,50188.700
10.250,16.000,50012.865
10.250,16.500,49957.446
10.250,17.000,49952.012
10.250,17.500,49956.115
10.250,18.000,49960.281
10.250,18.500,49967.301
10.250,19.000,49969.354
10.250,19.500,49975.563
10.250,20.000,49978.542
10.500,0.000,49987.122
10.500,0.500,49991.461
10.500,1.000,49991.195
10.500,1.500,49987.918
10.500,2.000,49988.102
10.500,2.500,49988.820
10.500,3.000,49988.824
10.500,3.500,49988.772
10.500,4.000,49987.335
10.500,4.500,49986.709
10.500,5.000,49988.014
10.500,5.500,49986.029
10.500,6.000,49985.585
10.500,6.500,49984.166
10.500,7.000,49983.654
10.500,7.500,49980.795
10.500,8.000,49979.856
10.500,8.500,49975.584
10.500,9.000,49972.777
10.500,9.500,49968.318
10.500,10.000,49958.254
10.500,10.500,49955.458
10.500,11.000,49952.682
10.500,11.500,49955.590
10.500,12.000,50001.609
10.500,12.500,50154.525
10.500,13.000,50560.282
10.500,13.500,51268.969
10.500,14.000,51711.648
10.500,14.500,51270.158
10.500,15.000,50558.336
10.500,15.500,50154.853
10.500,16.000,50003.192
10.500,16.500,49959.979
10.500,17.000,49949.239
10.500,17.500,49955.249
10.500,18.000,49960.775
10.500,18.500,49964.074
10.500,19.000,49970.011
10.500,19.500,49973.622
10.500,20.000,49977.809
10.750,0.000,49989.950
10.750,0.500,49990.465
10.750,1.000,49992.164
10.750,1.500,49990.678
10.750,2.000,49993.788
10.750,2.500,49989.168
10.750,3.000,49990.393
10.750,3.500,49989.447
10.750,4.000,49990.629
10.750,4.500,49987.253
10.750,5.000,49988.428
10.750,5.500,49988.800
10.750,6.000,49984.288
10.750,6.500,49984.036
10.750,7.000,49983.382
10.750,7.500,49980.059
10.750,8.000,49976.975
10.750,8.500,49977.958
10.750,9.000,49970.957
10.750,9.500,49969.009
10.750,10.000,49959.758
10.750,10.500,49953.882
10.750,11.000,49950.924
10.750,11.500,49954.232
10.750,12.000,49988.542
10.750,12.500,50107.929
10.750,13.000,50406.375
10.750,13.500,50889.628
10.750,14.000,51179.355
10.750,14.500,50887.241
10.750,15.000,50405.129
10.750,15.500,50108.739
10.750,16.000,49989.121
10.750,16.500,49953.050
10.750,17.000,49948.403
10.750,17.500,49954.298
10.750,18.000,49962.752
10.750,18.500,49964.311
10.750,19.000,49970.887
10.750,19.500,49976.674
10.750,20.000,49978.790
11.000,0.000,49989.986
11.000,0.500,49989.299
11.000,1.000,49989.820
11.000,1.500,49989.447
11.000,2.000,49986.085
11.000,2.500,49988.017
11.000,3.000,49985.845
11.000,3.500,49990.326
11.000,4.000,49989.171
11.000,4.500,49986.213
11.000,5.000,49987.949
11.000,5.500,49989.621
11.000,6.000,49984.041
11.000,6.500,49985.723
11.000,7.000,49982.821
11.000,7.500,49980.046
11.000,8.000,49976.372
11.000,8.500,49974.193
11.000,9.000,49970.633
11.000,9.500,49963.000
11.000,10.000,49961.543
11.000,10.500,49954.014
11.000,11.000,49950.302
11.000,11.500,49951.327
11.000,12.000,49981.866
11.000,12.500,50059.494
11.000,13.000,50258.652
11.000,13.500,50559.806
11.000,14.000,50730.262
11.000,14.500,50557.260
11.000,15.000,50262.796
11.000,15.500,50060.604
11.000,16.000,49979.309
11.000,16.500,49952.069
11.000,17.000,49952.958
11.000,17.500,49957.170
11.000,18.000,49959.775
11.000,18.500,49970.877
11.000,19.000,49969.539
11.000,19.500,49974.557
11.000,20.000,49980.743
11.250,0.000,49988.538
11.250,0.500,49988.528
11.250,1.000,49989.513
11.250,1.500,49989.796
11.250,2.000,49989.466
11.250,2.500,49987.495
11.250,3.000,49988.591
11.250,3.500,49988.876
11.250,4.000,49989.729
11.250,4.500,49987.431
11.250,5.000,49984.416
11.250,5.500,49985.557
11.250,6.000,49983.628
11.250,6.500,49985.360
11.250,7.000,49979.406
11.250,7.500,49980.929
11.250,8.000,49976.187
11.250,8.500,49976.784
11.250,9.000,49972.361
11.250,9.500,49966.956
11.250,10.000,49961.862
11.250,10.500,49954.480
11.250,11.000,49950.753
11.250,11.500,49949.682
11.250,12.000,49967.193
11.250,12.500,50021.485
11.250,13.000,50139.824
11.250,13.500,50313.404
11.250,14.000,50407.298
11.250,14.500,50316.353
11.250,15.000,50143.703
11.250,15.500,50021.208
11.250,16.000,49965.594
11.250,16.500,49950.702
11.250,17.000,49950.608
11.250,17.500,49953.516
11.250,18.000,49962.097
11.250,18.500,49968.476
11.250,19.000,49969.772
11.250,19.500,49974.595
11.250,20.000,49978.481
11.500,0.000,49990.199
11.500,0.500,49988.335
11.500,1.000,49988.001
11.500,1.500,49987.901
11.500,2.000,49988.944
11.500,2.500,49988.742
11.500,3.000,49987.755
11.500,3.500,49985.368
11.500,4.000,49985.339
11.500,4.500,49987.404
11.500,5.000,49983.985
11.500,5.500,49985.390
11.500,6.000,49983.575
11.500,6.500,49982.064
11.500,7.000,49981.584
11.500,7.500,49982.284
11.500,8.000,49977.977
11.500,8.500,49974.299
11.500,9.000,49969.014
11.500,9.500,49967.619
11.500,10.000,49963.276
11.500,10.500,49956.552
11.500,11.000,49951.905
11.500,11.500,49948.964
11.500,12.000,49955.290
11.500,12.500,49990.409
11.500,13.000,50061.743
11.500,13.500,50154.246
11.500,14.000,50199.250
11.500,14.500,50153.070
11.500,15.000,50061.505
11.500,15.500,49992.383
11.500,16.000,49958.753
11.500,16.500,49949.218
11.500,17.000,49950.750
11.500,17.500,49954.103
11.500,18.000,49959.920
11.500,18.500,49966.713
11.500,19.000,49972.786
11.500,19.500,49975.336
11.500,20.000,49978.385
11.750,0.000,49986.293
11.750,0.500,49986.205
11.750,1.000,49989.908
11.750,1.500,49987.981
11.750,2.000,49985.835
11.750,2.500,49988.865
11.750,3.000,49987.619
11.750,3.500,49991.294
11.750,4.000,49988.310
11.750,4.500,49986.440
11.750,5.000,49985.074
11.750,5.500,49984.901
11.750,6.000,49983.488
11.750,6.500,49980.368
11.750,7.000,49982.539
11.750,7.500,49979.847
11.750,8.000,49973.164
11.750,8.500,49973.664
11.750,9.000,49970.025
11.750,9.500,49968.593
11.750,10.000,49962.054
11.750,10.500,49958.671
11.750,11.000,49948.478
11.750,11.500,49945.940
11.750,12.000,49952.769
11.750,12.500,49968.252
11.750,13.000,50005.791
11.750,13.500,50054.200
11.750,14.000,50077.153
11.750,14.500,50055.799
11.750,15.000,50009.056
11.750,15.500,49966.854
11.750,16.000,49950.732
11.750,16.500,49947.575
11.750,17.000,49950.989
11.750,17.500,49957.689
11.750,18.000,49962.300
11.750,18.500,49966.252
11.750,19.000,49969.601
11.750,19.500,49971.881
11.750,20.000,49976.740
12.000,0.000,49987.949
12.000,0.500,49989.164
12.000,1.000,49987.048
12.000,1.500,49990.907
12.000,2.000,49987.083
12.000,2.500,49986.213
12.000,3.000,49987.204
12.000,3.500,49984.820
12.000,4.000,49986.165
12.000,4.500,49982.252
12.000,5.000,49985.758
12.000,5.500,49984.115
12.000,6.000,49983.447
12.000,6.500,49982.283
12.000,7.000,49978.811
12.000,7.500,49977.730
12.000,8.000,49979.383
12.000,8.500,49975.229
12.000,9.000,49970.425
12.000,9.500,49968.051
12.000,10.000,49963.334
12.000,10.500,49960.276
12.000,11.000,49953.500
12.000,11.500,49948.254
12.000,12.000,49946.977
12.000,12.500,49958.716
12.000,13.000,49974.988
12.000,13.500,49997.250
12.000,14.000,50007.922
12.000,14.500,49997.262
12.000,15.000,49974.595
12.000,15.500,49957.189
12.000,16.000,49949.020
12.000,16.500,49949.364
12.000,17.000,49952.064
12.000,17.500,49958.592
12.000,18.000,49966.111
12.000,18.500,49968.784
12.000,19.000,49973.725
12.000,19.500,49972.221
12.000,20.000,49975.921
12.250,0.000,49986.130
12.250,0.500,49983.097
12.250,1.000,49987.058
12.250,1.500,49988.846
12.250,2.000,49985.735
12.250,2.500,49986.575
12.250,3.000,49984.703
12.250,3.500,49984.896
12.250,4.000,49985.647
12.250,4.500,49982.934
12.250,5.000,49985.901
12.250,5.500,49980.555
12.250,6.000,49983.061
12.250,6.500,49980.799
12.250,7.000,49982.494
12.250,7.500,49979.831
12.250,8.000,49973.619
12.250,8.500,49970.705
12.250,9.000,49969.861
12.250,9.500,49966.964
12.250,10.000,49963.060
12.250,10.500,49958.358
12.250,11.000,49954.011
12.250,11.500,49946.315
12.250,12.000,49943.490
12.250,12.500,49949.184
12.250,13.000,49956.677
12.250,13.500,49967.772
12.250,14.000,49972.068
12.250,14.500,49967.667
12.250,15.000,49959.448
12.250,15.500,49946.371
12.250,16.000,49944.353
12.250,16.500,49949.326
12.250,17.000,49955.352
12.250,17.500,49958.004
12.250,18.000,49961.450
12.250,18.500,49964.716
12.250,19.000,49971.754
12.250,19.500,49972.464
12.250,20.000,49980.009
12.500,0.000,49990.040
12.500,0.500,49986.725
12.500,1.000,49986.951
12.500,1.500,49985.859
12.500,2.000,49987.533
12.500,2.500,49985.565
12.500,3.000,49985.372
12.500,3.500,49986.975
12.500,4.000,49985.470
12.500,4.500,49987.249
12.500,5.000,49981.027
12.500,5.500,49981.965
12.500,6.000,49980.618
12.500,6.500,49982.236
12.500,7.000,49979.013
12.500,7.500,49979.161
12.500,8.000,49974.666
12.500,8.500,49974.015
12.500,9.000,49974.823
12.500,9.500,49970.452
12.500,10.000,49961.135
12.500,10.500,49959.845
12.500,11.000,49955.526
12.500,11.500,49948.812
12.500,12.000,49944.562
12.500,12.500,49946.615
12.500,13.000,49948.457
12.500,13.500,49953.355
12.500,14.000,49954.381
12.500,14.500,49956.023
12.500,15.000,49946.935
12.500,15.500,49944.878
12.500,16.000,49946.988
12.500,16.500,49950.650
12.500,17.000,49952.218
12.500,17.500,49961.244
12.500,18.000,49961.766
12.500,18.500,49968.004
12.500,19.000,49970.917
12.500,19.500,49973.095
12.500,20.000,49978.119
12.750,0.000,49982.212
12.750,0.500,49984.497
12.750,1.000,49984.079
12.750,1.500,49986.562
12.750,2.000,49987.364
12.750,2.500,49985.956
12.750,3.000,49986.601
12.750,3.500,49980.837
12.750,4.000,49984.026
12.750,4.500,49981.242
12.750,5.000,49982.202
12.750,5.500,49982.472
12.750,6.000,49981.454
12.750,6.500,49982.419
12.750,7.000,49976.225
12.750,7.500,49976.522
12.750,8.000,49973.823
12.750,8.500,49971.468
12.750,9.000,49972.854
12.750,9.500,49968.498
12.750,10.000,49966.853
12.750,10.500,49962.031
12.750,11.000,49955.713
12.750,11.500,49949.565
12.750,12.000,49948.689
12.750,12.500,49943.956
12.750,13.000,49942.974
12.750,13.500,49944.065
12.750,14.000,49946.611
12.750,14.500,49947.689
12.750,15.000,49944.852
12.750,15.500,49946.830
12.750,16.000,49947.339
12.750,16.500,49950.380
12.750,17.000,49959.692
12.750,17.500,49962.985
12.750,18.000,49964.814
12.750,18.500,49966.976
12.750,19.000,49968.932
12.750,19.500,49974.529
12.750,20.000,49975.661
13.000,0.000,49985.567
13.000,0.500,49985.214
13.000,1.000,49985.227
13.000,1.500,49986.106
13.000,2.000,49984.657
13.000,2.500,49982.861
13.000,3.000,49982.512
13.000,3.500,49984.218
13.000,4.000,49981.354
13.000,4.500,49983.590
13.000,5.000,49983.051
